立案時間,派工項目,案件地址,經緯度,longitude,latitude
2017/10/10 19:56,交通標誌及設施物損壞(含汙損)、傾斜,內湖區內湖路二段,"(25.0811641, 121.5867075)",25.0811641, 121.5867075
2017/10/10 20:05,交通號誌電纜線垂落及設施損壞,松山區延壽街72巷,"(25.0558145, 121.5654807)",25.0558145, 121.5654807
2017/10/10 20:12,路燈故障或設施損壞,北投區天母北路,"(25.1212218, 121.5266963)",25.1212218, 121.5266963
2017/10/10 20:37,交通標誌及設施物損壞(含汙損)、傾斜,大安區,"(25.0261583, 121.5427093)",25.0261583, 121.5427093
2017/10/10 20:47,路燈故障或設施損壞,中山區北安路,"(25.0796593, 121.5428669)",25.0796593, 121.5428669
2017/10/10 21:20,路燈故障或設施損壞,萬華區,"(25.0262857, 121.4970294)",25.0262857, 121.4970294
2017/10/10 21:20,路燈故障或設施損壞,士林區,"(25.0950492, 121.5246077)",25.0950492, 121.5246077
2017/10/10 21:21,路燈故障或設施損壞,士林區福港街149巷,"(25.087437, 121.5186097)",25.087437, 121.5186097
2017/10/10 22:14,路燈故障或設施損壞,內湖區內湖路三段326巷5弄,"(25.0895363, 121.5846074)",25.0895363, 121.5846074
2017/10/10 22:45,路燈故障或設施損壞,士林區中社路二段,"(25.1075002, 121.5665311)",25.1075002, 121.5665311
2017/10/10 23:22,鄰里無主垃圾清運,大安區辛亥路一段34巷,"(25.0199746, 121.529886)",25.0199746, 121.529886
2017/10/10 23:26,路燈故障或設施損壞,中山區明水路,"(25.07747, 121.5457086)",25.07747, 121.5457086
2017/10/10 23:52,交通標誌及設施物損壞(含汙損)、傾斜,內湖區碧山路,"(25.0955591, 121.5872849)",25.0955591, 121.5872849
2017/10/11 01:02,路燈故障或設施損壞,中山區10491台灣台北市中山區民族東路240號,"(25.068122, 121.5323449)",25.068122, 121.5323449
2017/10/11 01:54,交通號誌異常,中山區,"(25.0792018, 121.5427093)",25.0792018, 121.5427093
2017/10/11 03:10,交通號誌異常,北投區行義路158巷,"(25.1309375, 121.529316)",25.1309375, 121.529316
2017/10/11 07:14,鄰里無主垃圾清運,北投區民族街,"(25.1326743, 121.5054602)",25.1326743, 121.5054602
2017/10/11 07:26,路燈故障或設施損壞,中山區玉門路,"(25.0697557, 121.5223573)",25.0697557, 121.5223573
